review_vi,review_pre,sentiment
Anh ấy có khả năng làm việc nhóm rất tốt.,anh_ấy có khả năng làm việc nhóm rất tốt.,positive
Anh ấy tự cao tự đại và gặp khó khăn trong việc hợp tác với người khác.,anh_ấy tự cao tự đại và gặp khó khăn trong việc hợp tác với người khác.,negative
Anh ấy gần như không bao giờ giúp đỡ người khác và chỉ quan tâm đến bản thân mình.,anh_ấy gần như không bao giờ giúp đỡ người khác và chỉ quan tâm đến bản thân mình.,negative
"Anh có tài về âm nhạc và luôn tìm cách sáng tạo ra những dòng nhạc mới, giúp nhóm trở nên hoàn thiện và đa dạng hơn.","anh có tài về âm nhạc và luôn tìm cách sáng tạo ra những dòng nhạc mới, giúp nhóm trở nên hoàn thiện và đa dạng hơn.",positive
Anh ta thường chạy theo tiền bạc và không có cảm giác đồng cảm.,anh ta thường chạy theo tiền bạc và không có cảm giác đồng cảm.,negative
"Thầy đam mê giảng dạy và luôn chia sẻ kiến ​​thức, kinh nghiệm của mình với mọi người trong lớp.","thầy đam mê giảng dạy và luôn chia sẻ kiến ​​thức, kinh nghiệm của mình với mọi người trong lớp.",positive
Anh ấy thường đánh giá thấp người khác.,anh_ấy thường đánh giá thấp người khác.,negative
Thầy đam mê giảng dạy và thường xuyên giúp đỡ những học sinh yếu kém hiểu bài tốt hơn.,thầy đam mê giảng dạy và thường xuyên giúp đỡ những học sinh yếu kém hiểu bài tốt hơn.,positive
Anh ấy thường đưa ra những ý kiến ​​sai lầm.,anh_ấy thường đưa ra những ý kiến ​​sai lầm.,negative
"Thầy có niềm yêu thích với âm nhạc, giúp mọi người trong lớp hiểu rõ hơn về âm nhạc và niềm đam mê đó.","thầy có niềm yêu thích với âm nhạc, giúp mọi người trong lớp hiểu rõ hơn về âm nhạc và niềm đam mê đó.",positive
Anh ấy thường hay nói đùa với người khác mà không hiểu.,anh_ấy thường hay nói đùa với người khác mà không hiểu.,negative
Anh giỏi công nghệ thông tin và luôn đưa ra những giải pháp tối ưu cho các vấn đề kỹ thuật.,anh giỏi công nghệ thông tin và luôn đưa ra những giải pháp tối ưu cho các vấn đề kỹ thuật.,positive
Anh ấy hay thay đổi và không sẵn sàng làm người khác căng thẳng.,anh_ấy hay thay đổi và không sẵn sàng làm người khác căng thẳng.,negative
"Thầy giỏi giao tiếp và luôn tạo môi trường thân thiện, hòa đồng cho mọi người trong lớp.","thầy giỏi giao tiếp và luôn tạo môi trường thân thiện, hòa đồng cho mọi người trong lớp.",positive
Anh ấy là một người có tinh thần đồng đội rất tốt.,anh_ấy là một người có tinh thần đồng đội rất tốt.,positive
Anh ta thường chỉ trích người khác và không biết cách tôn trọng họ.,anh ta thường chỉ trích người khác và không biết cách tôn trọng họ.,negative
Anh ấy đam mê và chuyên nghiệp trong lĩnh vực của mình.,anh_ấy đam mê và chuyên nghiệp trong lĩnh vực của mình.,positive
Anh ấy thường trì hoãn việc hoàn thành công việc.,anh_ấy thường trì hoãn việc hoàn thành công việc.,negative
Anh ấy thường coi thường những người khác trong nhóm.,anh_ấy thường coi thường những người khác trong nhóm.,negative
"Anh là một tiền bối đáng ngưỡng mộ, luôn có tinh thần trách nhiệm và lòng nhân ái.","anh là một tiền bối đáng ngưỡng mộ, luôn có tinh thần trách nhiệm và lòng nhân ái.",positive
Anh ấy không biết cách lắng nghe và luôn cố gắng ép buộc người khác đồng ý với ý kiến ​​​​của mình.,anh_ấy không biết cách lắng nghe và luôn cố gắng ép buộc người khác đồng ý với ý kiến ​​​​của mình.,negative
"Anh ấy là một người đồng đội tuyệt vời, chăm chỉ và luôn cố gắng hết sức mình.","anh_ấy là một người đồng đội tuyệt vời, chăm chỉ và luôn cố gắng hết sức mình.",positive
Anh ấy không chấp nhận những ý kiến ​​​​sai trái về phía mình.,anh_ấy không chấp nhận những ý kiến ​​​​sai trái về phía mình.,negative
"Anh là một đồng nghiệp cởi mở và luôn hỗ trợ, giúp tôi tự tin hơn.","anh là một đồng nghiệp cởi mở và luôn hỗ trợ, giúp tôi tự tin hơn.",positive
"Anh là một đồng nghiệp tốt bụng và tận tâm, luôn chia sẻ những câu chuyện học tập bổ ích với mọi người.","anh là một đồng nghiệp tốt bụng và tận tâm, luôn chia sẻ những câu chuyện học tập bổ ích với mọi người.",positive
Anh ta không chịu trách nhiệm khi có vấn đề phát sinh.,anh ta không chịu trách nhiệm khi có vấn đề phát sinh.,negative
Anh ta không có tính kiên nhẫn và dễ cáu kỉnh với mọi người.,anh ta không có tính kiên nhẫn và dễ cáu kỉnh với mọi người.,negative
"Ông là một huấn luyện viên thông minh và tận tâm, giúp các thành viên trong nhóm phát triển tốt hơn.","ông là một huấn luyện viên thông minh và tận tâm, giúp các thành viên trong nhóm phát triển tốt hơn.",positive
Anh ấy không lắng nghe nghiêm túc ý kiến ​​​​của người khác.,anh_ấy không lắng nghe nghiêm túc ý kiến ​​​​của người khác.,negative
"Anh là một kỹ sư tài năng, có tư duy và khả năng giải quyết vấn đề cao.","anh là một kỹ sư tài năng, có tư duy và khả năng giải quyết vấn đề cao.",positive
Anh ấy không quan tâm đến việc giúp đỡ người khác.,anh_ấy không quan tâm đến việc giúp đỡ người khác.,negative
"Anh ấy là một người quen thuộc và tốt bụng, luôn giúp đỡ tôi trong nhiều việc khác nhau.","anh_ấy là một người quen thuộc và tốt bụng, luôn giúp đỡ tôi trong nhiều việc khác nhau.",positive
Anh ấy là một người rất cởi mở và nhiệt tình.,anh_ấy là một người rất cởi mở và nhiệt tình.,positive
Anh ta không tôn trọng giáo viên và thường chạy quanh lớp.,anh ta không tôn trọng giáo viên và thường chạy quanh lớp.,negative
Anh ấy là một người rất đáng kính trong lớp chúng tôi.,anh_ấy là một người rất đáng kính trong lớp chúng_tôi.,positive
Anh ta hời hợt và không có ý kiến ​​​​của riêng mình.,anh ta hời hợt và không có ý kiến ​​​​của riêng mình.,negative
Anh ấy là một người rất sáng tạo và có tầm nhìn.,anh_ấy là một người rất sáng tạo và có tầm nhìn.,positive
Anh ấy là người luôn ưu tiên công việc của mình mà không quan tâm đến người khác.,anh_ấy là người luôn ưu tiên công việc của mình mà không quan tâm đến người khác.,negative
Anh ấy luôn bận chơi điện thoại.,anh_ấy luôn bận chơi điện thoại.,negative
"Anh là người rất tận tâm và có tinh thần trách nhiệm cao, giúp nhóm đạt được mục tiêu chung một cách tốt nhất.","anh là người rất tận tâm và có tinh thần trách nhiệm cao, giúp nhóm đạt được mục tiêu chung một cách tốt nhất.",positive
Anh ấy luôn về muộn và không chịu tiếp thu kiến ​​thức mới.,anh_ấy luôn về muộn và không chịu tiếp thu kiến ​​thức mới.,negative
Anh là người rất tận tâm với công việc và gia đình.,anh là người rất tận tâm với công việc và gia đình.,positive
Anh ấy là một người rất tận tâm với gia đình và bạn bè.,anh_ấy là một người rất tận tâm với gia đình và bạn bè.,positive
Anh ấy luôn có những ý tưởng khác biệt với những người khác trong nhóm.,anh_ấy luôn có những ý tưởng khác biệt với những người khác trong nhóm.,negative
Anh ấy là một người rất thông minh và sáng tạo.,anh_ấy là một người rất thông minh và sáng tạo.,positive
Anh ấy luôn cười và chế nhạo các học trò của mình.,anh_ấy luôn cười và chế nhạo các học trò của mình.,negative
Anh ấy là một người rất thông minh.,anh_ấy là một người rất thông minh.,positive
Anh ấy luôn đòi hỏi và không chấp nhận ý kiến ​​​​của người khác.,anh_ấy luôn đòi hỏi và không chấp nhận ý kiến ​​​​của người khác.,negative
Anh ấy là một người rất tốt bụng và luôn giúp đỡ mọi người.,anh_ấy là một người rất tốt bụng và luôn giúp đỡ mọi người.,positive
Anh luôn tìm cách trốn tránh trách nhiệm và không chịu thừa nhận lỗi lầm của mình.,anh luôn tìm cách trốn tránh trách nhiệm và không chịu thừa nhận lỗi lầm của mình.,negative
"Anh ấy là một người rất trung thành và có trách nhiệm, luôn đảm bảo mọi người trong nhóm được an toàn và vui vẻ.","anh_ấy là một người rất trung thành và có trách nhiệm, luôn đảm bảo mọi người trong nhóm được an toàn và vui vẻ.",positive
"Anh luôn tìm cách trêu chọc, lăng mạ đồng nghiệp.","anh luôn tìm cách trêu chọc, lăng mạ đồng nghiệp.",negative
Anh ấy luôn cố gắng trốn học và không chịu làm bài tập về nhà.,anh_ấy luôn cố gắng trốn học và không chịu làm bài tập về nhà.,negative
Em là một người rất chững chạc và luôn đáp ứng những yêu cầu của thầy và cả nhóm.,em là một người rất chững chạc và luôn đáp ứng những yêu cầu của thầy và cả nhóm.,positive
Anh ấy luôn có vẻ khó chịu và căng thẳng.,anh_ấy luôn có vẻ khó chịu và căng thẳng.,negative
Anh là người tài năng và có tinh thần thử thách bản thân.,anh là người tài năng và có tinh thần thử thách bản thân.,positive
Anh ấy là một người thân thiện và rất chăm chỉ.,anh_ấy là một người thân thiện và rất chăm chỉ.,positive
Anh ấy rất ích kỷ và luôn tìm cách chỉ trích người khác.,anh_ấy rất ích kỷ và luôn tìm cách chỉ trích người khác.,negative
Anh ta thiếu tự tin và không có tinh thần cạnh tranh.,anh ta thiếu tự tin và không có tinh thần cạnh tranh.,negative
"Thầy là một giáo viên tuyệt vời, tài năng và tận tâm với công việc.","thầy là một giáo viên tuyệt vời, tài năng và tận tâm với công việc.",positive
Anh ấy thường chủ quan và không nghĩ đến hậu quả.,anh_ấy thường chủ quan và không nghĩ đến hậu quả.,negative
"Anh là một thợ săn tài năng, có khả năng khám phá và phát triển tiềm năng của mỗi người.","anh là một thợ săn tài năng, có khả năng khám phá và phát triển tiềm năng của mỗi người.",positive
"Anh ấy là một người thông minh và tận tâm, có thể giúp đỡ mọi người trong mọi tình huống.","anh_ấy là một người thông minh và tận tâm, có thể giúp đỡ mọi người trong mọi tình huống.",positive
"Anh ta thường xuyên đánh nhau và gây rối trong lớp, gây khó chịu cho học sinh.","anh ta thường xuyên đánh nhau và gây rối trong lớp, gây khó chịu cho học sinh.",negative
Anh ấy thường gặp khó khăn khi làm việc theo nhóm.,anh_ấy thường gặp khó khăn khi làm việc theo nhóm.,negative
"Thầy là một tiền bối tuyệt vời, đã cho tôi rất nhiều kinh nghiệm và kiến ​​thức quý báu.","thầy là một tiền bối tuyệt vời, đã cho tôi rất nhiều kinh nghiệm và kiến ​​thức quý báu.",positive
Anh ấy thường gây ồn ào trong lớp.,anh_ấy thường gây ồn ào trong lớp.,negative
"Anh là một trưởng nhóm đa tài, tận tâm và có tinh thần trách nhiệm cao.","anh là một trưởng nhóm đa tài, tận tâm và có tinh thần trách nhiệm cao.",positive
Anh ấy thường không chấp nhận thất bại và đổ lỗi cho người khác.,anh_ấy thường không chấp nhận thất bại và đổ lỗi cho người khác.,negative
Ông là một nhà văn tài năng và đam mê viết lách.,ông là một nhà văn tài năng và đam mê viết lách.,positive
"Anh là người bạn thân thiết và đáng tin cậy, luôn ở bên cạnh tôi trong mọi hoàn cảnh.","anh là người bạn thân thiết và đáng tin cậy, luôn ở bên cạnh tôi trong mọi hoàn cảnh.",positive
Anh thường xuyên không chịu học tập và chỉ biết đối đầu với đồng nghiệp.,anh thường xuyên không chịu học tập và chỉ biết đối đầu với đồng nghiệp.,negative
Anh ấy tài năng và luôn cố gắng làm mọi việc tốt nhất.,anh_ấy tài năng và luôn cố gắng làm mọi việc tốt nhất.,positive
Anh ấy thường không đáp ứng được yêu cầu của đồng nghiệp.,anh_ấy thường không đáp ứng được yêu cầu của đồng nghiệp.,negative
Anh ấy rất cầu tiến và luôn sẵn sàng học hỏi.,anh_ấy rất cầu tiến và luôn sẵn sàng học hỏi.,positive
Anh ấy thường làm việc một mình mà không hợp tác với đồng nghiệp.,anh_ấy thường làm việc một mình mà không hợp tác với đồng nghiệp.,negative
Anh ấy là một người rất chu đáo và sẵn sàng giúp đỡ người khác.,anh_ấy là một người rất chu đáo và sẵn sàng giúp đỡ người khác.,positive
Anh thường xuyên lặp lại sai lầm của đồng nghiệp khiến họ cảm thấy khó chịu.,anh thường xuyên lặp lại sai lầm của đồng nghiệp khiến họ cảm thấy khó chịu.,negative
Anh ấy rất lịch sự và đẹp trai.,anh_ấy rất lịch sự và đẹp trai.,positive
Anh ấy thường quá chủ quan trong các quyết định của mình.,anh_ấy thường quá chủ quan trong các quyết định của mình.,negative
Anh ấy rất thẳng thắn và trung thành với bạn bè.,anh_ấy rất thẳng thắn và trung thành với bạn bè.,positive
Anh ta thường xuyên đánh nhau và gây rắc rối trong lớp.,anh ta thường xuyên đánh nhau và gây rắc rối trong lớp.,negative
Anh ấy là một người rất thông minh và có động lực cao.,anh_ấy là một người rất thông minh và có động lực cao.,positive
Anh ấy thường gian lận trong các bài kiểm tra.,anh_ấy thường gian lận trong các bài kiểm tra.,negative
Anh ấy là một người rất trung thành và quyết đoán.,anh_ấy là một người rất trung thành và quyết đoán.,positive
Anh ta thường xuyên hành hung các học sinh của mình.,anh ta thường xuyên hành hung các học sinh của mình.,negative
Anh ấy là một người vui tính và dễ gần.,anh_ấy là một người vui tính và dễ gần.,positive
Anh ấy thường lật điện thoại trong khi giảng dạy.,anh_ấy thường lật điện thoại trong khi giảng dạy.,negative
"Anh ấy luôn có trách nhiệm và nghiêm túc trong các dự án của nhóm, đảm bảo mọi thứ được hoàn thành đúng và đúng thời hạn.","anh_ấy luôn có trách nhiệm và nghiêm túc trong các dự án của nhóm, đảm bảo mọi thứ được hoàn thành đúng và đúng thời hạn.",positive
"Bạn cứ nói mà không suy nghĩ, làm việc thiếu tập trung, làm hại cả nhóm.","bạn cứ nói mà không suy nghĩ, làm việc thiếu tập trung, làm hại cả nhóm.",negative
Anh luôn cố gắng hoàn thành tốt mọi nhiệm vụ.,anh luôn cố gắng hoàn thành tốt mọi nhiệm vụ.,positive
Ánh sáng trong lớp học quá chói khiến mắt khó chịu.,ánh sáng trong lớp học quá chói khiến mắt khó chịu.,negative
