review_vi,sentiment,review_org
anh_ấy không chấp nhận ý kiến sai về phía mình. anh_ấy học giỏi giàu có không có đẹp không nhanh a. tôi không thích anh_ấy. anh_ấy hay xem thường những người khác trong nhóm.,negative,
"anh_ấy không chấp nhận những ý kiến ​​​​sai trái về phía mình. anh_ấy học giỏi, giàu có, không đẹp trai, không nhanh nhẹn. tôi không thích anh ta. anh_ấy thường coi thường những người khác trong nhóm.",negative,
,negative,Anh ấy bị tự cao tự đại và khó hợp tác với người khác.
,positive,Anh ấy giỏi công nghệ thông tin và luôn đưa ra các giải pháp tối ưu cho các vấn đề kỹ thuật.
,negative,Anh ấy hay phê bình người khác và không biết tôn trọng họ.
,positive,Anh ấy là một người có tinh thần đội nhóm rất tốt.
,negative,Anh ấy hay xem thường những người khác trong nhóm.
,negative,Anh ấy hay chạy theo tiền tài và không có tinh thần đồng cảm.
,positive,"Anh ấy là một người đàn anh đáng ngưỡng mộ, luôn có tinh thần trách nhiệm và nhân ái."
,negative,Anh ta hay đưa ra ý tưởng nhưng không có kế hoạch thực hiện cụ thể.
,negative,Anh ấy không biết lắng nghe và luôn cố ép buộc người khác đồng tình với ý kiến của mình.
"anh_ấy không chấp nhận những ý kiến ​​​​sai trái về phía mình. anh_ấy học giỏi, giàu có, không đẹp trai, không nhanh nhẹn. tôi không thích anh ta. anh_ấy thường coi thường những người khác trong nhóm.",negative,
,negative,Anh ấy bị tự cao tự đại và khó hợp tác với người khác.
,positive,Anh ấy giỏi công nghệ thông tin và luôn đưa ra các giải pháp tối ưu cho các vấn đề kỹ thuật.
,negative,Anh ấy hay phê bình người khác và không biết tôn trọng họ.
,positive,Anh ấy là một người có tinh thần đội nhóm rất tốt.
,negative,Anh ấy hay xem thường những người khác trong nhóm.
,negative,Anh ấy hay chạy theo tiền tài và không có tinh thần đồng cảm.
,positive,"Anh ấy là một người đàn anh đáng ngưỡng mộ, luôn có tinh thần trách nhiệm và nhân ái."
,negative,Anh ta hay đưa ra ý tưởng nhưng không có kế hoạch thực hiện cụ thể.
,negative,Anh ấy không biết lắng nghe và luôn cố ép buộc người khác đồng tình với ý kiến của mình.
